5uqd:A:A1	A_A H1452 D1454 H1593
3i49:A:A1	A_A H131 D133 H187
1gp6:A:A1	A_A H232 D234 H288
8ji7:A:A1_A2	A_A H79 H172 E176:A_A D76 E140 E176 H179
3pl1:A:A1	A_A D49 H51 H57 H71
7ail:A:A1	A_A E127 E194 E228 H577
7t63:A:A1_A2	A_A W134 E138 E191 E224 H227:A_A E100 E138 H141 E224
2bq8:X:X1_X2	X_X D12 D50 Y53 D145 H221:X_X D50 D145 H184 H219
2gcu:A:A1	A_A H72 H128 D153
4hz1:B:B1	B_B G45 H46 C112 H117 M121
5i0w:B:B1	B_B E3 E44 D92
1zz7:A:A1	A_A H138 E142 H180
3nw4:A:A1	A_A H119 H121 H160
7n7v:A:A1	A_A H126 D128 H264
3pur:A:A1	A_A H495 D497 H567
6f2a:C:C1	C_C H178 E180 H314
1unb:A:A1	A_A H183 D185 H243 S309
4bmo:B:A1	B_A A117 T118
6jzy:B:B1_B2	B_B E32 E60 H63 E144:B_B E60 E115 E144 H147
8w1d:A:A1_A2	A_A E47 E80 H83 E162:A_A E80 E130 E162 H165
6qo8:A:A1_A2	A_A D62 E93 H96 E195:A_A E93 E161 E195 H198
2nyb:A:A1	A_A H26 H73 D156 H160
2ehz:A:A1	A_A H152 H215 E266
5k73:A:A1	A_A D45 N90 H180 H230
4r52:A:A1_A2	A_A H51 E57 H95:A_A C125 C128 C162 C165
1cjx:A:A1	A_A H161 H240 E322
1rzh:M:M1	M_M H219 E234 H266
4r85:A:A1	A_A H56 H58 H209 H241 D308
2vw8:A:A1_A2	A_A D73 H74 D178 H221 A297:A_A H69 H71 H159 D178
4z6m:A:A1	A_A H155 H214 E267
8il8:A:A1	A_A H119 H121 H183
5ht7:A:A1	A_A H14 H16
5dab:A:A1	A_A H231 H307
7etk:A:A1	A_A H129 D131 H205
3obz:A:A1	A_A H156 D158 H246
7cn3:C:C1	C_C H265 S302 H318 D320
3ak9:A:A1_C1	A_A D78 E82:A_C H51 H63
8c6e:A:A1	A_A R15 E26 H30
8ofl:A:A1	A_A Y12 H182
6nie:A:A1	A_A H137 H204
9bul:A:A1	A_A H79 E87 H146 H148
6l94:A:A1	A_A H231 D233 H287
5fnn:A:A1	A_A H84 E133 H204 E208
8cve:A:A1	A_A H217 D219 H273
1tg5:A:A1	A_A H205 H287 E373
6f6m:A:A1	A_A F98 E102 E167 E202 H205
1j8u:A:A1	A_A H285 H290 E330
2fct:A:A1	A_A H116 H235
3r60:A:A1	A_A E11 H77 E99 E102
4xpx:A:A1_A2	A_A E62 H77 H81 H117 D122:A_A H22 H58 E62 D122
6a4x:A:A1	A_A H61 E117 Y123
1y0z:B:B1	B_B H120 E122 H313
4uf0:A:A1	A_A H1093 E1095 H1173
5iqs:B:B1	B_B H164 H259
3wsg:A:A1	A_A H71 H221 E225
7kq8:A:A1	A_A H49 H81 C244
5kr7:A:A1	A_A H190 E192 H278
6npc:A:A1	A_A H198 D200 H341
