5hli:A:A1	A_A Q-2 S-1
1iby:A:A1	A_A E60 C95 H98 H103
5fc9:A:A1	A_A H1043 C1083 H1086
6q6b:A:A1	A_A H113 C114
2gsm:B:B1_B2	B_B C252 E254 C256 H260:B_B H217 C252 C256 M263
3fs9:A:A1	A_A H46 C112 H115
4hua:A:A1	A_A S1 D2
5i0y:B:A2	B_A H44 M90 H97
8bbq:A:A1_A2	A_A H80 H86 H95:A_A H258 H262 H284
8ytq:D:D1	D_D D140 H142
2xlg:A:A1	A_A H88 H90 E95 H149
4opb:A:A1	A_A H1 H91 Y224
5l2v:A:A1	A_A H1 H85
4xyd:B:B1	B_B E49 H52 E124
4mnt:A:A1	A_A E18 C106
3sb9:A:B1	A_B H76 H80
6rek:A:A1_A2_A3	A_A H115 H142 H157:A_A H31 H58 H73:A_A H199 T224 H226 H241
2oxi:A:A1	A_A C46 H67 C174
8zyh:A:A1	A_A H58 H92
4n3u:A:A1	A_A H75 H77 H93 H153
2xz4:A:A1	A_A I59 E64
6dyf:A:A1	A_A H67 H71 H97
4z5y:A:A1	A_A H93 H269
3n7d:A:A1	A_A H19 E29
1s4c:B:B1	B_B H65 D70 H130
5u7n:B:B1	B_B H114 C149 H152 M155
7euu:A:A1	A_A H170 D172 H294
2yc3:A:A1	A_A E138 E141
6wis:A:A1_A2_A3_A4	A_A C16 C54 H55:A_A C15 C54 H67:A_A C13 C15 C16:A_A C15 M90
1qhq:A:A1	A_A H57 C122 H127 M132
2j56:M:A1	M_A K129 A130
5ib3:A:A1	A_A G1 H3
6muj:B:B1_B2	B_B C272 C277:B_B H95 H202
6c40:B:B2_B3	B_B D9 M14 C81:B_B X41 E45
5c0u:A:A1	A_A C96 C159
1v6p:A:A1_A2	A_A H4 N62:A_A E2 D58
2y9w:A:A1_A2	A_A H61 C83 H85 H94:A_A H259 H263 H296
6xh7:G:G1	G_G C120 P121
4e9x:A:A1_A2_A3_A4	A_A H1057 C1105 H1112 M1118:A_A H1062 H1104:A_A H1206 H1252:A_A H1204 H1206
4wbr:D:D1	D_D C74 C78 H162
