2akf:B:B1	B_B D452 E456
1yb0:B:B1	B_B H29 H129 C137
3g27:A:A1	A_A C13 C21 C54 C57
4yhb:B:B1	B_B H53 H265 H266
7h47:A:A1	A_A C56 C58 C116 H118
8s1p:6:61	6_6 C16 C18 C36 C39
7dc9:D:D1	D_D H80 C110 C113
1v0d:A:A1	A_A C229 C238 H242 C307 T327 G328
5hwa:A:A1_A2	A_A D52 E54:A_A K204 D237
9fs2:A:A1_A2_A3	A_A H1471 H1473 K1556 D1686:A_A K1556 H1590 H1614:A_A H1471 C1613 E1637
5lwh:A:A1	A_A H210 E220
6r0a:A:A1	A_A D98 D102
3rza:A:A1	A_A H79 D110 D167
5g6t:A:A1	A_A D119 D121 H122 H162
6z2o:A:A1	A_A H205 H209 H215
6u3u:A:A1	A_A H63 H66
2wnd:A:A1	A_A H86 H90
4a6d:A:A1	A_A E267 H271
5e0y:A:A1_A2	A_A H600 Q626:A_A K589 D592
4k2h:D:D1	D_D E13 E14 H46
5grq:A:A1_A2	A_A E104 H137:A_A H81 E83
5vjj:A:A1_A2_A3	A_A C36 C38 C78 C81:A_A C53 C67 C89 H93:A_A C59 C61 C97 H101
1ryq:A:A1	A_A C6 C9 C18 C21
3ray:A:A1	A_A C32 C35 H46
3giu:B:B1	B_B C141 H165
4fuk:A:A1_A2	A_A D222 H285 E318 E349:A_A D211 D222 E349
3h7t:A:A1	A_A E178 E209
8tlf:A:A1_A2_A3	A_A C281 C284 C311:A_A H282 C338 C340 C343:A_A C295 C300 C331 C334
6v77:B:B1	B_B E121 E123 D152
4i6v:B:B1	B_B H25 H27 D374
6ty2:A:A1	A_A H8 C39 H44 C48
6vjv:A:A1_A2_A3_A4	A_A E72 D97:A_A D66 D68:A_A E27 D31:A_A A2 E20
6zie:A:A1_A2	A_A H138 H143:A_A E133 E137
2bq8:X:X1	X_X E67 D71
5w0g:A:A1	A_A E163 D167
9jpl:A:A1	A_A D143 H147 H195 H217
3v93:F:F1	F_F H372 H409 D410 D521
6tyj:A:A1_A2_A3	A_A H11 H45 E49 H105 E109:A_A E49 H71 H105:A_A D50 H71
5cw4:A:A1	A_A H94 H96 D107
3sfw:A:A1_A2	A_A K150 H183 H239:A_A H58 H60 K150 D315
3mbj:A:A1	A_A H276 D279
1d0q:A:A1	A_A C40 H43 C61 C64
4wwu:C:C1	C_C K25 H29
4mb7:A:A1	A_A C248 H252 C269 C272
4a37:B:B1	B_B H167 E170 H260
4m0w:A:A1	A_A C190 C193 C225 C227
5b8d:A:A1_A2_A3	A_A C1145 H1164 H1170 F1207:A_A C1133 C1136 C1153 H1160:A_A C1113 H1115 C1183 C1186
9fhl:P:P1	P_P C19 C22 C37 C40
8af1:A:A1	A_A H22 D36 H123
9gaw:S:S1_S2	S_S C378 C396 C401:S_S C406 C409 H414
2znr:A:A1_A2	A_A H362 C402 H408 H410:A_A H347 H349 D360
2p2l:C:C1_C2	C_C T17 T35:C_C D63 E100 H104
3gs2:A:A1	A_A A223 E312
6gzu:A:A1	A_A H165 C183 H185 C200
4msx:A:A1	A_A C60 C63 H79 H85
2vac:A:A1_A2	A_A S-1 H8:A_A D119 H137
9iyx:A:A1	A_A C48 H60
6iwd:B:B1	B_B C65 C68 C98 C101
5kz6:A:A1_A2	A_A D177 K218:A_A E145 E190
1qwr:A:A1	A_A H98 E116 H173
1zbd:B:B1_B2	B_B C111 C114 C137 C140:B_B C94 C97 C122
1dyq:A:A1	A_A H187 H225 D227
2c36:A:A1	A_A H39 D215
3mhs:E:E1	E_E C78 C81A H93 E95
3zvs:A:A1_A2	A_A H117 H121 H127:A_A C128 C132 C151 C154
1enr:A:A1	A_A E8 D10 D19 H24
2vh9:A:A1	A_A D259 T261
5kn5:C:C1	C_C H18 H35
8yx6:A:A1_A2	A_A H163 H168:A_A D140 D142 H144
6jqw:A:A1	A_A E8 H169 D298
7pr5:F:A1	F_A S1 H23
5a4x:B:B1	B_B H103 D109
6j0d:A:A1_A2	A_A C37 C40 H53 H58:A_A C13 C16 H29 H34
3v4k:A:A1_A2	A_A H248 H250:A_A H257 C288 C291
7q5n:G:G1	G_G H72 E92
5exh:C:C1_C2	C_C C57 C60 C63 C89:C_C C69 C72 C75 C84
3wup:A:A1	A_A C635 C638 H650 H654
1a2p:C:C1	C_C E60 K62
7lf3:A:A1_A2	A_A H231 C261 C264 C280:A_A C244 C247 H269 C272
3ici:A:A1	A_A G-3 D2
2ra6:C:C1	C_C H27 H29
2yx1:A:A1_A2	A_A H227 E230:A_A F303 C307 C309
2riq:A:A1	A_A C295 C298 C311 C321
8pso:A:A1	A_A C161 C282 H284 H296
2imr:A:A1	A_A H97 H99 H238
7jjb:A:A1_A2	A_A H131 H140 H142:A_A H131 H142
4kjm:A:A1	A_A H121 E125
5b3h:C:C1_C2	C_C C190 H203 C207:C_C C161 C164 H177
2czr:A:A1	A_A C149 H164 H168
1mbx:A:A1	A_A H20 H22 E63
9bz0:M:M1	M_M C26 C29 C50 C53
