2yjg:A:A1	A_A V125 E126 E128
1nmp:A:A1_A2	A_A H63 H64 H215 E219:A_A H63 D101 E219
3f1t:B:B1	B_B T110 P111 N112
4bl0:A:A1	A_A D198 V199 E258
4ypo:A:A1_A2	A_A D188 E192:A_A E224 E228
2xo6:A:A1	A_A P7 E9 E123
1w0h:A:A1_A2	A_A D134 D234:A_A D134 E136 D298
2a5y:C:C1	C_C S166 D250
3uoa:C:C1	C_C E388 E437
7ofl:A:A1	A_A N234 S238 E242
3zvl:A:A1	A_A D170 D172 D288
3tep:A:A1	A_A D234 D246
6lrb:E:E1	E_E D517 T519
5mtv:A:A1	A_A K74 T75 D156
3d6a:A:A1	A_A T491 L492
1v0d:A:A1	A_A D262 H308
1g29:1:11_12_23	1_1 E292 D293 K359:1_1 D69 E71 K72:1_2 K79 D80
6yii:A:A1	A_A F454 S457 K459
2ajr:A:A1	A_A H255 R295 E297
4b43:A:A1	A_A V322 E324 R339
4tq3:A:A1_A2	A_A N68 D72:A_A D198 D202
8pne:A:A1	A_A D6 G8 D166
4brn:A:A1	A_A F140 Q143 W146
7mbw:A:A1	A_A T143 E233
1p5z:B:B1	B_B S35 E127
4fk9:A:A1_A2	A_A G276 D283 P284 E286:A_A H36 H38
8v31:C:C1	C_C N135 S136 E164 Q166 Q273
3fr7:A:A1	A_A D315 E319
5fui:A:A1	A_A E267 E269 E287 N379
5dny:A:A1_A2	A_A D8 H10 D49 H188:A_A D49 N84 H158 H186
5bpj:A:A1_A2_A3	A_A D46 D48 D50 K52 E57:A_A D138 D140 D142 T144 E149:A_A D172 D174 S176 K178 E180 E183
8owu:B:B1	B_B H47 H49 H73
2o06:A:A1	A_A H91 D168 D200 G201
2ozl:A:A1	A_A D167 N196 Y198
6mxv:B:B1	B_B H180 N252
3vcz:B:B1	B_B D80 N82
7jr8:B:B1	B_B D76 A78 N80
6ti4:A:A1	A_A A56 E57 Y64 Y65
7ddb:A:A1	A_A A109 G111 S129
5ui9:A:A1	A_A W24 K25 V27 A30
3eth:A:A1	A_A E226 E238
5ex2:A:A1_A2	A_A Q113 Q131 E133:A_A G69 R173
3sso:B:B1	B_B D275 E303 D304
6xpp:A:A1	A_A A276 A279 Q308
4zkf:A:A1	A_A H456 D496 N498
4imm:A:A1	A_A R197 G198 D251
2h5n:A:A1	A_A V29 D32 K34
1mus:A:A1_A2	A_A S178 S181:A_A E451 E454
5ux9:D:D1	D_D H204 E207
4r7f:A:A1	A_A E244 D290 D292 Q392
4wrr:A:A1	A_A K216 D219 T221
6h99:A:A1_A2_A3	A_A W216 N217 T414 D437:A_A K303 T304 T305:A_A Y188 Y355
8ifk:B:B1	B_B N468 I507
1m1b:A:A1	A_A D85 R159
3zdb:A:A1	A_A A172 I185
6gmo:A:A1	A_A E107 E159 E165
7wyg:B:B1	B_B H94 T221
7npf:B:B1	B_B N114 V115 Q116 T258
1lnz:A:A1	A_A G225 G227
6qyf:A:A1	A_A D111 A112 E113
5odc:I:I1	I_I R53 D73
3fcx:A:A1	A_A H153 P178 D203 A204
5dz2:A:A1	A_A N229 S233 E237
3v4k:A:A1	A_A E209 H367
6d2y:A:A1	A_A D225 D227 S255 N257 D452
2y6p:B:B1	B_B D95 D219
6t5t:A:A1_A2_A3	A_A Q159 L427:A_A S220 E221 T224:A_A E358 E359 Y361 H362
7yh5:B:B1	B_B E119 E122 E138 D141
7n0i:D:D1	D_D Q306 A308
1ox0:A:A1	A_A N301 A302 E346 N392
4yf4:A:A1	A_A I134 E135 N137 V140
5udg:A:A1_A2	A_A D162 R164:A_A D106 E109
4pr6:A:A1_A2	A_A S48 L49 K50 M51:A_A D24 K27 K28
3djb:A:A1	A_A H29 H58 D59 D122
4ev6:A:A1	A_A E71 D72
5nlm:A:A1_A2_A3_A4	A_A D189 A393:A_A G372 S375:A_A G365 R442:A_A P53 R58
7jjb:A:A1	A_A Q27 S28
5wri:A:A1	A_A D90 H92 I95 G276
6e47:F:F1	F_F K94 G96 D98
8wt6:A:A1	A_A D11 E60
4lpl:A:A1	A_A T1009 K1095
2oi2:A:A1	A_A S92 D135
5lhm:A:A1_A2	A_A E65 V66 G67 V68 F140:A_A Q47 D168 A211 G213
5axm:B:B1_B2	B_B D21 G22 D69:B_B D21 D69
1izc:A:A1	A_A E185 D211
2qg8:A:A1	A_A D30 E92
1eye:A:A1	A_A N13 D21 H255
8fmg:A:A1	A_A H91 D95
6ojf:A:A1	A_A M1409 T1410 Y1415
1esn:A:A1	A_A S102 E199
7auc:A:A1	A_A D684 L848
8un9:A:A1	A_A D107 E109 D262
2pyw:A:A1	A_A D255 E257
2hx1:A:A1	A_A D19 F21 D232
1wf3:A:A1	A_A S21 T42
8wcn:B:B1	B_B D268 V269 E312
4zmi:A:A1	A_A L294 L297 Y299
5mwa:A:A1	A_A D9 D11 D185
5fr1:B:B1	B_B R117 V118 R152
3fef:A:A1	A_A C173 H210
2fh5:B:B1	B_B T76 S93
4ex6:A:A1	A_A D15 D17 D175
7nte:A:A1	A_A K61 D223 D225
6mps:A:A1	A_A D82 D97
6qkb:A:A1	A_A H355 D357
4zm1:C:C1	C_C K143 P197
3caw:A:A1	A_A D155 E184 D206
5g50:A:A1	A_A Q48 Q50
5gtq:A:A1	A_A E18 N160 D212
3dty:A:A1	A_A E122 N126
4fk1:C:C1	C_C N44 D137
3v8e:A:A1	A_A P16 G18 T21
6tfx:B:B1_B2	B_B C446 C481:B_B G501 Y519
8rng:B:B1	B_B N84 H85 L88
8ojm:A:A1_A2	A_A T175 R224:A_A K226 K227
3epj:B:B1	B_B D78 W79
7x9o:A:A1_A2	A_A G37 E57:A_A E53 E57
1yu4:A:A1	A_A E312 F313
6y3z:P:P1	P_P D446 E451 E459
3cbt:A:A1	A_A N133 D149 D153
1yns:A:A1	A_A D16 E18 D212
1x8b:A:A1_A2	A_A N431 D463:A_A N342 G465
1yw0:A:A1	A_A A36 Q37 Q38
1vq8:Y:Y1	Y_Y H133 K136 K137 V139
1gtv:A:A1_B1	A_A D9 E166:A_B D9 E166
4pdn:A:A1	A_A H59 H63 E98
7cje:C:C1	C_C D42 F44 D314 E318
3v5c:A:A1	A_A E238 D261
4m83:B:B1	B_B R297 A299
6op1:A:A1_A2	A_A R93 M112:A_A I328 K332 W335
3slr:A:A1	A_A D228 D230 D336
5j2t:A:A1	A_A D69 E71
5lwk:A:A1	A_A D9 D54 R56
3w6p:A:A1	A_A S39 T59
9clr:A:A1_A2	A_A C163 G164:A_A G16 W17 D37
4ktz:A:A1	A_A N8 E71
3qf7:A:A1	A_A S37 Q142
1cmc:A:A1	A_A H14 E19 Y104
7n3z:A:A1	A_A N25 E59
6yu8:A:A1_A2	A_A H1811 E1832 D1924:A_A L1818 Y1821 Y1845
7q6i:C:C1	C_C D210 T378
3rlg:A:A1	A_A E32 D34 D91
5kf0:A:A1	A_A H-2 H0 E85
7rr4:A:A1_A2	A_A D78 S108:A_A T69 D72 F74 E142
1l7m:B:B1	B_B D511 D513 D667
4z54:A:A1	A_A S75 T102
3vc6:A:A1	A_A D217 E242 N265
3h08:B:B1	B_B D10 E48
1r6w:A:A1	A_A D161 E190 D213
7twc:A:A1	A_A H200 D202 H340
6bt2:B:B1	B_B N326 H414
6p24:A:A1_A2	A_A E102 N103:A_A E256 E268
3c8c:A:A1	A_A V274 E277
3qy7:A:A1	A_A D14 H42 H196
6jgj:A:A1	A_A R80 D197
6rup:B:B1	B_B R95 D96
3klc:B:B1	B_B R255 E257
2c78:A:A1	A_A T25 T62
7ll6:A:A1	A_A G28 V30 G31
7aus:A:A1	A_A K63 E84
3eyw:A:A1	A_A G406 G408 F410 G411 A470
1d2i:A:A1	A_A D84 V94
8jh8:A:A1	A_A L50 S119 F120
1y23:B:B1	B_B R141 S144
6cgk:A:A1	A_A N25 D27 D157
8ppt:A:A1_A2	A_A D404 N450 H497 H560:A_A D360 D404
2z4t:A:A1_A2_A3	A_A Y349 S352 L354 N356:A_A D122 H123 A124 T128 G152 R153:A_A E301 P302 S303
5ht9:A:A1_A2	A_A D33 E49 S77 S79:A_A E9 K34 S36 N76
7f04:A:A1	A_A T41 H81
3aql:B:B1	B_B D69 E108
7ks4:B:B1	B_B K43 D149
3mwb:B:B1	B_B A158 Q161 L164
2hv6:A:A1	A_A G208 D214
1zno:B:B1	B_B E49 N70
3bs1:A:A1	A_A S190 D193 F196
2erx:A:A1	A_A S21 T39
